step,action,price,balance,reward,slippage,spread
3,buy,0,10000.0,-0.04000224605390602,0.00030002246053906017,0.0002004492107809952
5,sell,0,9992.330412586649,-0.04000224406396475,-0.0003000224406396475,0.00020044881279313032
6,sell,0,9988.762984705736,-0.035701660509744035,0.0,0.00020044901161409
7,buy,0,9982.57861447343,-0.040002069231987694,0.00030002069231987695,0.00020041384639757354
8,sell,0,9981.791616803635,-0.04000214551105868,-0.0003000214551105868,0.000200429102211519
10,buy,0,9969.816095660051,-0.030002110005666226,0.00020002110005666227,0.00020042200113312703
11,sell,0,9965.611551033118,-0.03000210957437523,-0.00020002109574375232,0.00020042191487501526
12,sell,0,9965.783654113358,0.0017269695829399624,0.0,0.0002004044104326752
13,sell,0,9960.533360834694,-0.05268319543037122,0.0,0.00020042471184567034
14,sell,0,9951.18982320471,-0.09380559545860015,0.0,0.00020043337431419062
15,sell,0,9943.952007813936,-0.07273316577578012,0.0,0.00020043521978818646
17,sell,0,9910.469528074285,-0.2007675678489114,0.0,0.0002004344734634067
18,sell,0,9887.437619596167,-0.23239977089758315,0.0,0.000200418697185345
24,sell,0,9784.038028459376,-0.16751445650774918,0.0,0.0002003870204214664
25,sell,0,9765.429734858355,-0.19019032373845993,0.0,0.00020034719509443022
27,sell,0,9721.344525145,-0.22271862303515094,0.0,0.00020034913395727827
28,sell,0,9704.008565144964,-0.1783288304945249,0.0,0.0002003647400425912
30,buy,0,9667.046159440708,-0.030001778058457548,0.00020001778058457547,0.0002003556116916272
32,buy,0,9656.157264671518,-0.06622442691526714,0.0,0.00020034509214106322
33,buy,0,9651.472775416683,-0.04851297598449313,0.0,0.00020032855245100123
34,sell,0,9647.874785971057,-0.030001592689660725,-0.00020001592689660727,0.00020031853793200938
35,buy,0,9643.908089174221,-0.030001563759331582,0.00020001563759331582,0.0002003127518661607
36,sell,0,9640.676539770735,-0.03000141024530901,-0.0002000141024530901,0.00020028204906186176
37,buy,0,9629.085061710455,-0.03000151994321058,0.00020001519943210581,0.00020030398864223642
38,sell,0,9626.846980692382,-0.030001491285753357,-0.00020001491285753358,0.00020029825715051075
39,sell,0,9626.06250847376,-0.008148797006900915,0.0,0.0002003068277662834
40,sell,0,9622.368131678988,-0.03837889886462367,0.0,0.00020027107921460896
43,sell,0,9618.576132615579,-0.05654231355007748,0.0,0.00020034880392572063
45,sell,0,9611.465337347005,-0.031183840515065245,0.0,0.00020035164212117706
46,buy,0,9607.641257720734,-0.03000171291159477,0.00020001712911594773,0.00020034258231893531
49,sell,0,9612.519313195226,-0.030001700872525683,-0.00020001700872525682,0.0002003401745049871
50,buy,0,9611.701374530268,-0.030001750550950883,0.00020001750550950885,0.0002003501101901506
51,sell,0,9612.43224456986,-0.030001790782923764,-0.00020001790782923765,0.00020035815658481226
52,sell,0,9607.616126107738,-0.050103015965014444,0.0,0.00020035117293160098
54,sell,0,9595.125542228063,-0.051267916337334574,0.0,0.000200364042560075
55,sell,0,9588.765213230081,-0.06628708472849933,0.0,0.00020036375051368793
57,buy,0,9571.61410943626,-0.030001619194800995,0.00020001619194800997,0.00020032383896007033
58,buy,0,9566.839996459465,-0.04987782543477536,0.0,0.0002003263387457821
59,sell,0,9564.088020079156,-0.030001579336927393,-0.0002000157933692739,0.00020031586738555873
60,buy,0,9558.009756577569,-0.030001571768681463,0.00020001571768681466,0.00020031435373635276
63,buy,0,9554.07785523956,-0.005702362079571647,0.0,0.0002002255415836096
65,buy,0,9563.946475336621,0.0443324982587376,0.0,0.00020025104824261675
66,sell,0,9566.723255719398,-0.03000129538467239,-0.00020001295384672386,0.00020025907693455025
67,buy,0,9561.396379323905,-0.030001292811935556,0.00020001292811935558,0.00020025856238703454
69,sell,0,9564.894852061063,-0.030001287998005003,-0.00020001287998005005,0.0002002575996011835
71,buy,0,9542.970514632507,-0.03000143100779513,0.0002000143100779513,0.00020028620155887467
74,sell,0,9544.106875395059,-0.03000133957073225,-0.0002000133957073225,0.00020026791414640144
77,sell,0,9538.841102377208,-0.012383038629703177,0.0,0.00020030690471761758
78,sell,0,9535.865447235805,-0.031195143198913054,0.0,0.00020030047696861786
79,sell,0,9531.697120275634,-0.043712099161170526,0.0,0.00020030039062124416
81,buy,0,9525.062464294951,-0.04000154652766708,0.0003000154652766708,0.00020030930553360804
82,buy,0,9524.064866723715,-0.010473396631007418,0.0,0.0002003061455533306
83,buy,0,9521.626821129446,-0.02559879241044014,0.0,0.0002003138329187415
84,buy,0,9521.312912676041,-0.003296794332538504,0.0,0.00020029166238444418
85,buy,0,9531.69644637021,0.1090556921025518,0.0,0.00020036017344393642
86,sell,0,9545.938283023459,-0.04000177009329359,-0.00030001770093293585,0.00020035401865881042
