time,open,high,low,close,tick_volume,spread,real_volume
2024-07-04 08:15:00,1.07897,1.07932,1.07877,1.07923,401,1,0
2024-07-04 08:30:00,1.07922,1.07949,1.07915,1.07941,504,0,0
2024-07-04 08:45:00,1.07941,1.07967,1.0792,1.07944,417,0,0
2024-07-04 09:00:00,1.07945,1.07989,1.07939,1.07988,411,1,0
2024-07-04 09:15:00,1.07989,1.0803,1.07976,1.0803,451,1,0
2024-07-04 09:30:00,1.08026,1.08026,1.07979,1.07989,102,1,0
2024-07-04 09:45:00,1.07991,1.08002,1.07978,1.07997,144,0,0
2024-07-04 11:45:00,1.07994,1.08005,1.07992,1.07998,46,0,0
2024-07-04 12:00:00,1.0802100000000001,1.0802100000000001,1.0798,1.08004,419,0,0
2024-07-04 12:15:00,1.08002,1.0802100000000001,1.07972,1.07984,738,0,0
2024-07-04 12:30:00,1.07985,1.07986,1.07972,1.07979,117,0,0
2024-07-04 12:45:00,1.0796999999999999,1.08007,1.07965,1.07978,503,0,0
2024-07-04 13:00:00,1.07979,1.07995,1.07951,1.07952,430,0,0
2024-07-04 13:15:00,1.0795,1.07962,1.0794,1.07949,355,0,0
2024-07-04 13:30:00,1.0795,1.08001,1.07944,1.07991,439,0,0
2024-07-04 13:45:00,1.07991,1.08015,1.07988,1.0801,465,0,0
2024-07-04 14:00:00,1.08011,1.0802100000000001,1.07992,1.07995,613,0,0
2024-07-04 14:15:00,1.07994,1.07994,1.07962,1.07967,348,0,0
2024-07-04 14:30:00,1.07968,1.08006,1.07968,1.07984,393,0,0
2024-07-04 14:45:00,1.07986,1.08015,1.07967,1.0796999999999999,539,0,0
2024-07-04 15:00:00,1.0796999999999999,1.08006,1.07961,1.07999,510,0,0
2024-07-04 15:15:00,1.07998,1.08014,1.07992,1.07995,421,0,0
2024-07-04 15:30:00,1.07996,1.08023,1.07987,1.08009,1048,0,0
2024-07-04 15:45:00,1.08008,1.08022,1.07963,1.0796999999999999,892,0,0
2024-07-04 16:00:00,1.07969,1.07977,1.07948,1.07965,561,0,0
2024-07-04 16:15:00,1.07966,1.07983,1.07964,1.07972,490,0,0
2024-07-04 16:30:00,1.07971,1.08007,1.07967,1.07989,668,0,0
2024-07-04 16:45:00,1.07988,1.08016,1.07976,1.08011,473,0,0
2024-07-04 17:00:00,1.08014,1.08032,1.07999,1.08015,537,0,0
2024-07-04 17:15:00,1.08014,1.08039,1.07994,1.08031,533,0,0
2024-07-04 17:30:00,1.08032,1.0806499999999999,1.08026,1.0806,676,0,0
2024-07-04 17:45:00,1.08059,1.08092,1.08055,1.08083,673,0,0
2024-07-04 18:00:00,1.08083,1.08139,1.0807,1.0813,670,0,0
2024-07-04 18:15:00,1.08128,1.08137,1.08098,1.08115,392,0,0
2024-07-04 18:30:00,1.08114,1.08136,1.08112,1.0813,229,0,0
2024-07-04 18:45:00,1.08129,1.08138,1.08107,1.08108,149,0,0
2024-07-04 19:00:00,1.08106,1.08136,1.081,1.08135,229,0,0
2024-07-04 19:15:00,1.08136,1.08137,1.08129,1.08134,130,0,0
2024-07-04 19:30:00,1.08134,1.08135,1.08116,1.08117,112,0,0
2024-07-04 19:45:00,1.08116,1.08124,1.08097,1.08121,140,0,0
2024-07-04 20:00:00,1.08121,1.08129,1.0811,1.08115,77,0,0
2024-07-04 20:15:00,1.08115,1.08122,1.0811,1.08112,35,0,0
2024-07-04 20:30:00,1.08111,1.08115,1.08107,1.08108,48,0,0
2024-07-04 20:45:00,1.08108,1.08116,1.08107,1.08115,53,0,0
2024-07-04 21:00:00,1.08116,1.08124,1.08114,1.08122,89,0,0
2024-07-04 21:15:00,1.08122,1.08125,1.0812,1.08123,51,0,0
2024-07-04 21:30:00,1.08124,1.08125,1.08123,1.08125,78,0,0
2024-07-04 21:45:00,1.08125,1.08125,1.08118,1.0812,47,0,0
2024-07-04 22:00:00,1.08119,1.08125,1.08119,1.08123,427,0,0
2024-07-04 22:15:00,1.08122,1.08124,1.0812,1.08121,459,0,0
2024-07-04 22:30:00,1.08122,1.08129,1.08122,1.08127,35,0,0
2024-07-04 22:45:00,1.08127,1.08132,1.08125,1.08128,66,0,0
2024-07-04 23:00:00,1.08131,1.08132,1.08124,1.08128,58,0,0
2024-07-04 23:15:00,1.08129,1.08138,1.08128,1.08132,42,0,0
2024-07-04 23:30:00,1.08132,1.08133,1.08121,1.08122,41,0,0
2024-07-04 23:45:00,1.08122,1.0813,1.08112,1.08122,64,0,0
2024-07-05 00:00:00,1.08116,1.08117,1.08108,1.0811,35,9,0
2024-07-05 00:15:00,1.0811,1.08117,1.08107,1.08109,36,6,0
2024-07-05 00:30:00,1.08112,1.08116,1.08105,1.08106,248,7,0
2024-07-05 00:45:00,1.08107,1.08113,1.08104,1.08112,391,7,0
2024-07-05 01:00:00,1.08113,1.08136,1.08105,1.08109,168,0,0
2024-07-05 01:15:00,1.0811,1.08113,1.08103,1.08108,136,0,0
2024-07-05 01:30:00,1.08108,1.08116,1.08104,1.08112,56,0,0
2024-07-05 01:45:00,1.08113,1.08119,1.08112,1.08116,39,0,0
2024-07-05 02:00:00,1.08117,1.08119,1.08107,1.08113,501,0,0
2024-07-05 02:15:00,1.08114,1.08114,1.08105,1.08105,268,0,0
2024-07-05 02:30:00,1.08104,1.08105,1.08093,1.08098,304,0,0
2024-07-05 02:45:00,1.08099,1.08106,1.08096,1.08104,407,0,0
2024-07-05 03:00:00,1.08105,1.08136,1.08103,1.08119,438,0,0
2024-07-05 03:15:00,1.0812,1.08144,1.08115,1.0814300000000001,329,0,0
2024-07-05 03:30:00,1.08144,1.08175,1.08142,1.08174,427,0,0
2024-07-05 03:45:00,1.08174,1.0818,1.08139,1.08148,395,0,0
2024-07-05 04:00:00,1.08146,1.08171,1.08139,1.0817,434,0,0
2024-07-05 04:15:00,1.08171,1.0818,1.08154,1.08157,308,0,0
2024-07-05 04:30:00,1.08158,1.0817,1.08138,1.08153,350,0,0
